city,date,tavg,tmin,tmax,prcp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Delhi,30-11-2020,9.4,6,15.1,0,5,5,5,5,5,5,5,5,5
Delhi,01-12-2020,9.3,5.2,14.2,0,5,3524.78,18.11,71.97,0.05,12.16,455.67,571.47,10.64
Delhi,02-12-2020,9,6.5,13.6,0,5,1922.61,0.03,52.78,27.54,11.09,208.94,266.25,10.13
Delhi,03-12-2020,10.7,6,17.5,0,5,3738.4,0.64,78.14,11,16.69,595.27,748.71,10.26
Delhi,04-12-2020,12.6,7.3,20.8,0,5,2269.75,0,35.3,95.84,29.33,430.29,475.94,8.49
Delhi,05-12-2020,14.9,8.1,22.9,0,5,1762.39,0,33.93,73.67,24.32,356.95,395.17,6.02
Delhi,06-12-2020,14.4,8.1,21.4,0,5,1535.42,0,32.56,66.52,15.74,367.5,405.12,3.93
Delhi,07-12-2020,10.7,8.5,16.6,0,5,3257.75,22.8,69.23,0.01,15.02,407.5,517.5,11.15
Delhi,08-12-2020,13.4,7,20.6,0,5,3685,33.98,116.53,0,84.88,426.63,596.14,116.53
Delhi,09-12-2020,16.6,,22.8,0,5,2670.29,17.43,82.94,0.1,22.41,274.93,395.99,24.32
Delhi,10-12-2020,17,10.9,25.3,0,5,1789.09,15.2,55.52,0.11,12.04,120.97,206.2,12.16
Delhi,11-12-2020,17.7,9.8,,0,5,3044.13,10.51,106.93,0.11,42.44,327.85,374.02,13.55
Delhi,12-12-2020,17.2,8.8,27.7,0,5,2510.07,19.67,65.12,0.07,12.04,250.11,348.89,13.68
Delhi,13-12-2020,16.6,10.8,23.9,0,4,781.06,0,26.73,42.92,6.44,43.46,63.58,22.8
Delhi,14-12-2020,14.4,,23.1,0,5,2243.04,20.79,55.52,0.03,10.37,181.27,276.48,9.37
Delhi,15-12-2020,14.8,7.3,23.9,0,5,1214.98,0,35.99,50.78,8.11,110.56,142.48,8.61
Delhi,16-12-2020,17.8,10.2,26.2,0,5,801.09,0,20.91,66.52,8.23,74.88,92.61,17.73
Delhi,17-12-2020,19.4,13.1,27.6,0,5,881.2,0,23.65,71.53,11.09,80.12,98.94,23.31
Delhi,18-12-2020,19.1,12.1,25.8,0,5,988.01,0,30.16,55.79,11.09,91.15,114.13,25.33
Delhi,19-12-2020,20,13.8,26.6,0,5,988.01,0,27.08,57.22,11.56,105.63,127.34,22.55
Delhi,20-12-2020,18.8,12.5,27,0,5,1094.82,0,28.45,46.49,8.35,127.42,150.72,17.99
Delhi,21-12-2020,19.6,12.2,28,0,5,4699.71,78.68,45.93,0,33.85,442.66,638.86,40.53
Delhi,22-12-2020,17.8,12.4,,0,5,4806.52,70.63,79.51,0,24.32,486.21,679.41,21.53
Delhi,23-12-2020,16.6,,25.3,0,5,2857.21,22.35,65.8,0.03,19.55,363.96,489.97,21.03
Delhi,24-12-2020,17.7,,26.1,0,5,1628.88,0.14,45.93,20.74,10.01,176.25,229.16,7.16
Delhi,25-12-2020,19.2,9.7,28.8,0,5,2323.15,12.85,51.41,0.14,9.66,264.6,350.46,8.49
Delhi,26-12-2020,20,13.3,26.1,0,5,2536.77,18.77,61.69,0.04,20.27,276.93,400.3,33.44
Delhi,27-12-2020,18.4,,25.6,0,5,2857.21,0.03,85.68,22.89,31.95,335.91,380.37,9.25
Delhi,28-12-2020,15.2,9.5,21.7,0,5,1161.58,0.01,38.39,38.27,10.61,102.27,138.12,22.29
Delhi,29-12-2020,15.5,10.1,22.1,0,5,1001.36,0,31.19,46.49,8.11,92.82,122.71,5.57
Delhi,30-12-2020,17.1,9.3,25.2,0,5,1815.8,0.64,52.78,11,10.13,194.33,263.54,8.36
Delhi,31-12-2020,17.9,,24.3,0,5,5767.82,108.18,55.52,0,60.08,501.14,656.03,68.9
Delhi,01-01-2021,13.2,,21.2,0,5,2323.15,0,51.41,39.34,20.03,294.21,349.21,9.63
Delhi,02-01-2021,14.5,7.3,21.5,0,5,1602.17,0.02,42.16,23.6,23.6,296.78,326.46,3.1
Delhi,03-01-2021,15.8,8.8,23.7,0,5,720.98,0,28.79,53.64,33.85,56.69,66.84,3.71
Delhi,04-01-2021,15.8,8.8,,0,5,1134.87,0.12,26.05,16.81,9.42,69.93,105.79,4.24
Delhi,05-01-2021,14.7,9.7,,0,5,1508.71,0,34.96,42.56,28.85,200.48,219.57,4.18
Delhi,06-01-2021,18.4,12.8,25.1,0,5,1895.9,23.47,43.53,0.02,17.88,165.92,217.62,17.73
Delhi,07-01-2021,19.7,,24.7,,5,2216.34,23.25,35.99,0,9.18,201.41,277.86,8.23
Delhi,08-01-2021,20.3,14.1,26.5,0.5,5,2189.64,13.86,47.3,0.64,11.68,238.08,310.85,5.45
Delhi,09-01-2021,18.7,14,26.9,0,5,801.09,0,14.4,62.23,7.21,110.29,122.12,6.02
Delhi,10-01-2021,18.2,11.5,23.1,0,5,934.6,0,18.68,59.37,6.5,106.28,123.04,4.18
Delhi,11-01-2021,17.1,15,21.1,0,5,1041.41,0,27.42,42.2,8.11,96.58,121.24,4.75
Delhi,12-01-2021,16.2,,18.9,,5,1455.31,0.07,39.76,23.6,8.94,171.61,215.26,5.38
Delhi,13-01-2021,14.3,,19.3,0,5,3791.81,45.15,50.04,0,13.95,374.1,525.09,7.85
Delhi,14-01-2021,14.6,9.5,20.9,0,5,3578.19,29.06,47.98,0.01,30.04,486.04,659.53,29.39
Delhi,15-01-2021,14.6,8.8,21.7,0,5,2750.4,25.93,61.69,0.01,31.47,519.11,661.03,30.65
Delhi,16-01-2021,15.9,8.4,21.9,,5,2590.18,35.76,30.85,0,14.31,301.16,369.21,17.48
Delhi,17-01-2021,13.9,12.1,16.8,45,5,1081.47,0,18.68,95.84,24.08,298.93,317.86,2.47
Delhi,18-01-2021,15.1,13.1,19.5,1.8,5,2777.1,38.89,31.53,0,23.84,356.14,499.59,29.89
