city,date,tavg,tmin,tmax,prcp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Mumbai,30-11-2020,23.2,17,,0,5,5,5,5,5,5,5,5,5
Mumbai,01-12-2020,22.2,16.5,29.9,0,5,2536.77,0,82.94,29.68,67.71,195.49,247.9,32.93
Mumbai,02-12-2020,21.8,16.3,30.7,0,5,2670.29,0.03,91.85,26.82,62.94,218.67,273.96,29.39
Mumbai,03-12-2020,25.4,17.9,31.8,0,5,4432.68,7.38,142.57,0.49,102.04,381.77,466.42,44.08
Mumbai,04-12-2020,26.5,19.3,33.7,0,5,2376.56,0,89.11,55.79,103.95,222.79,261.27,26.6
Mumbai,05-12-2020,25.1,19.8,33.5,0,5,3311.16,0,106.93,35.76,82.02,301.33,365.4,36.48
Mumbai,06-12-2020,26,18.9,33.7,0,5,1922.61,0,61.01,41.49,51.02,154.51,190.94,26.09
Mumbai,07-12-2020,26.6,18.8,34.6,0,5,1895.9,0,57.58,51.5,49.59,159.84,196.72,24.07
Mumbai,08-12-2020,25.1,19,34.4,0,5,3685,11.62,128.87,0.06,62.94,282.99,341.59,36.99
Mumbai,09-12-2020,26.8,19.3,34.7,0,5,2750.4,0,89.11,36.84,69.62,242.39,296.63,36.99
Mumbai,10-12-2020,25.6,18.5,34,0,5,4806.52,24.14,141.2,0,123.98,398.07,514.72,72.96
Mumbai,11-12-2020,24.3,17.5,35,0,5,3391.27,0.03,106.93,19.85,103.95,365.35,424.09,40.53
Mumbai,12-12-2020,22.4,16.5,34.4,0,5,1148.22,0,46.61,43.27,50.07,111.28,133.36,11.65
Mumbai,13-12-2020,25.4,16.3,,0,5,1335.14,0.11,50.72,14.13,63.9,93.67,113.92,14.82
Mumbai,14-12-2020,23.7,15,32.4,0,5,1214.98,0.01,45.24,25.75,57.7,108.37,125.77,11.78
Mumbai,15-12-2020,24,15.8,33.5,0,5,1628.88,0,61.01,33.98,85.83,206.12,234.33,8.11
Mumbai,16-12-2020,24.8,16.7,34.1,0,5,974.66,0,37.7,70.81,70.57,116.56,133.26,6.46
Mumbai,17-12-2020,23.8,16.3,34.8,0,5,1281.74,0,42.16,52.21,53.88,131.07,152.61,12.29
Mumbai,18-12-2020,25.5,17.5,35.2,0,5,1895.9,0,57.58,41.13,53.88,204.17,240.61,17.48
Mumbai,19-12-2020,25.2,16,34.4,0,5,2483.37,0.2,80.2,14.84,68.67,281.3,329.96,17.23
Mumbai,20-12-2020,25.4,,32.7,0,5,1628.88,0,49.35,40.41,44.82,172.71,202.51,16.97
Mumbai,21-12-2020,25.8,17,35.3,0,5,2082.82,0.02,66.49,23.96,54.84,192.76,232.1,20.77
Mumbai,22-12-2020,26.4,18,36,0,5,1976.01,0.02,70.6,30.4,78.2,176.21,219.44,21.28
Mumbai,23-12-2020,26.1,18.2,36,0,5,2857.21,0.01,93.22,28.97,71.53,209.5,268.26,35.97
Mumbai,24-12-2020,25.5,18.6,37.1,0,5,4646.3,12.85,134.35,0.17,93.46,356.56,442.44,53.2
Mumbai,25-12-2020,25.9,18.7,,0,5,4112.24,7.82,122.01,0.5,104.9,397.76,476.01,43.06
Mumbai,26-12-2020,25.2,16.9,32.7,0,5,3631.59,0.08,115.16,18.24,76.29,328.9,404.6,43.06
Mumbai,27-12-2020,24.1,17.5,31.2,0,5,5554.2,0.03,160.4,16.81,82.02,548.01,641.84,36.48
Mumbai,28-12-2020,23.8,15,32.6,0,5,1188.28,0,37.36,80.82,59.13,143.05,165.9,14.95
Mumbai,29-12-2020,24.2,17,35.2,0,5,1041.41,0,46.61,50.07,67.71,95.57,140.4,15.83
Mumbai,30-12-2020,24.3,10.5,32.8,0,5,2082.82,0.06,77.46,20.21,82.02,200.55,253.62,27.36
Mumbai,31-12-2020,24.2,17.5,31.1,0,5,2536.77,0.1,84.31,17.7,82.97,268.46,318.69,28.12
Mumbai,01-01-2021,23.2,16,31.1,0,5,1468.66,0,50.72,55.08,59.13,246.64,284.19,10.51
Mumbai,02-01-2021,24.8,15.4,32.6,0,5,4432.68,2.93,130.24,3.93,91.55,464.58,552.56,29.13
Mumbai,03-01-2021,23.8,15.7,33.3,0,5,1094.82,0,33.24,82.97,32.9,166.79,197.47,10.26
Mumbai,04-01-2021,24,15.3,33.2,0,5,1642.23,0,53.47,71.53,65.8,185.38,220.14,17.48
Mumbai,05-01-2021,26,17.5,37,0,5,961.3,0,27.42,135.9,51.5,194.64,218.97,4.43
Mumbai,06-01-2021,27.1,20.6,36.2,0,5,1321.79,0,40.44,105.86,72.48,216.09,243.46,10.26
Mumbai,07-01-2021,27,20.7,34.9,0,5,1468.66,0,48.67,73.67,83.92,196.09,224.79,12.79
Mumbai,08-01-2021,26.5,21.3,33.8,0,5,1789.09,0,52.09,57.22,43.87,230.58,288.42,11.15
Mumbai,09-01-2021,28.2,21.5,36.3,0,5,1468.66,0,47.98,55.79,51.98,187.62,211.21,6.78
Mumbai,10-01-2021,28.1,22.2,36.5,0,5,2403.26,0,65.8,57.94,64.85,277.16,320.44,15.83
Mumbai,11-01-2021,28.1,,35.1,0,5,2429.96,0.01,69.92,24.68,52.45,217.15,258.31,16.72
Mumbai,12-01-2021,27,,32,0,5,1735.69,0,55.52,50.07,75.34,271.19,311.49,8.11
Mumbai,13-01-2021,25.3,21,31.1,0,5,1522.06,0,44.55,63.66,56.74,201.79,228.47,17.48
Mumbai,14-01-2021,24.3,,29.8,0,5,2269.75,0,69.92,42.92,88.69,322.09,366.92,15.58
Mumbai,15-01-2021,23.9,17.7,30.1,0,5,2456.67,0,87.05,31.47,64.85,289.15,352.36,16.21
Mumbai,16-01-2021,24.1,17.5,30.3,0,5,3257.75,0.63,112.41,9.39,67.71,259.37,344.88,36.48
Mumbai,17-01-2021,23,,27.9,0,5,2376.56,0,72.66,47.92,50.07,233.09,297.5,20.52
Mumbai,18-01-2021,22.6,,28.5,0,5,1695.63,0,61.01,54.36,51.5,141.51,189.37,18.49
Mumbai,19-01-2021,22.7,15.1,28,0,5,3631.59,16.09,101.45,0.07,86.78,258.66,338.23,46.61
Mumbai,20-01-2021,21.7,15.4,28.9,0,5,2643.59,0.01,87.74,38.27,78.2,272.9,336.64,29.39
Mumbai,21-01-2021,23.7,17.7,30.1,0,5,3631.59,0.17,122.01,15.02,78.2,342.3,425.25,43.06
Mumbai,22-01-2021,23.7,18.7,29.7,0,5,3177.64,0,105.56,46.49,78.2,358.6,432.87,27.87
Mumbai,23-01-2021,25.1,17.4,29.3,0,5,6515.5,20.56,186.44,0.03,115.4,633.72,751.53,55.73
Mumbai,24-01-2021,25.4,20.2,31,0,5,4165.65,7.94,130.24,0.48,78.2,319.82,405.34,47.62
Mumbai,25-01-2021,24.8,21.4,30.3,0,5,2136.23,0,71.97,37.19,60.08,203.36,292.48,26.35
Mumbai,26-01-2021,25.4,20.1,30.6,0,5,1455.31,0,48.67,91.55,70.57,241.3,343.94,10.26
Mumbai,27-01-2021,24.9,,28.5,2.8,5,1562.12,0,51.41,92.98,71.53,233.89,282.03,11.91
Mumbai,28-01-2021,23,,27.7,2.8,5,1735.69,0.03,54.15,25.03,65.8,244.07,278.13,16.09
Mumbai,29-01-2021,21.2,16,28.7,0,5,1655.58,0,52.78,79.39,73.43,223.78,257.78,16.97
Mumbai,30-01-2021,22.9,15.5,28.7,0,5,2883.91,0.25,106.93,14.66,82.97,256.78,321.94,31.67
Mumbai,31-01-2021,23,16,28.4,0,5,3070.83,0,93.22,41.84,80.11,290.73,343.37,34.45
Mumbai,01-02-2021,23.9,19.5,29.5,0,5,3791.81,0.84,116.53,6.97,69.62,316.95,385.44,45.09
Mumbai,02-02-2021,24.3,17.6,30.1,0,5,1949.31,0,69.23,50.78,86.78,195.02,236.68,24.83
Mumbai,03-02-2021,23.7,19.3,30.6,0,5,4005.43,0.36,135.72,11.44,92.51,315.19,393.15,50.66
Mumbai,04-02-2021,24.7,19.4,30.2,0,5,9078.98,67.95,205.64,0,131.61,704.35,847.52,85.12
Mumbai,05-02-2021,23.2,19.1,30.2,0,5,2082.82,0.01,79.51,31.83,63.9,132.57,189.31,31.41
Mumbai,06-02-2021,25.6,19,30.8,0,5,1441.96,0,56.21,61.51,68.67,115.95,152.76,21.53
Mumbai,07-02-2021,25.1,20.8,29.4,0,5,1134.87,0,36.33,67.95,47.21,96.53,119.15,19
Mumbai,08-02-2021,24.7,20.3,29.5,0,5,1668.93,0,52.09,65.8,48.64,127.11,162.52,24.32
Mumbai,09-02-2021,24.9,20,29.8,0,5,2563.48,0.01,90.48,36.12,85.83,207.05,262.53,30.65
Mumbai,10-02-2021,26.1,22.5,30.4,0,5,4165.65,0.01,134.35,29.68,101.09,318.23,391.3,48.64
Mumbai,11-02-2021,26.4,,30.6,0,5,4486.08,0.05,142.57,22.89,112.53,460.36,535.23,39.01
Mumbai,12-02-2021,27.3,22.4,33.3,0,5,7476.81,49.17,172.73,0,120.16,618.24,745.43,80.05
Mumbai,13-02-2021,28.3,22.3,37.2,0,5,7690.43,42.02,205.64,0,122.07,661.76,792.34,68.9
Mumbai,14-02-2021,27.6,22.6,32.1,0,5,5821.23,13.75,165.88,0.13,100.14,457.41,562.97,58.77
Mumbai,15-02-2021,27.9,22.9,32.9,0,5,2883.91,0,94.59,37.55,60.08,245.91,317.57,27.61
Mumbai,16-02-2021,29.6,22.5,36.3,0,5,1869.2,0,67.86,38.62,49.59,131.79,185.85,22.04
Mumbai,17-02-2021,30.8,22.3,36.7,0,5,1174.93,0,44.55,57.22,34.33,76.53,115.24,14.31
Mumbai,18-02-2021,28.4,22.3,34.2,0,5,3524.78,0.26,127.49,13.05,86.78,293.08,383.03,39.01
Mumbai,19-02-2021,26.4,,30.5,0,5,1535.42,0,52.78,54.36,47.68,111.92,135.54,23.81
